Datetime,Open,High,Low,Close
2024-03-11 01:00:00+00:00,67857.2109375,68396.6484375,67857.2109375,68303.65625
2024-03-11 01:15:00+00:00,68244.921875,68361.0859375,68031.234375,68031.234375
2024-03-11 01:30:00+00:00,68021.78125,68061.6171875,67776.1875,67890.4765625
2024-03-11 01:45:00+00:00,67863.796875,68318.84375,67863.796875,68318.84375
2024-03-11 02:00:00+00:00,68343.3828125,68499.7265625,68330.1796875,68499.7265625
2024-03-11 02:15:00+00:00,68553.8046875,68553.8046875,68397.1328125,68460.6484375
2024-03-11 02:30:00+00:00,68496.4140625,68531.109375,68409.8671875,68409.8671875
2024-03-11 02:45:00+00:00,68401.0859375,68483.3046875,68337.46875,68360.1171875
2024-03-11 03:00:00+00:00,68351.28125,68485.328125,68348.765625,68465.8515625
2024-03-11 03:15:00+00:00,68579.796875,68617.703125,68572.28125,68581.4453125
2024-03-11 03:30:00+00:00,68536.4921875,68545.1484375,68417.78125,68444.53125
2024-03-11 03:45:00+00:00,68486.6640625,68627.796875,68461.453125,68613.5390625
2024-03-11 04:00:00+00:00,68615.96875,68748.4765625,68569.0625,68670.421875
2024-03-11 04:15:00+00:00,68615.3984375,68689.7578125,68613.3046875,68682.3203125
2024-03-11 04:30:00+00:00,68690.40625,68690.40625,68564.40625,68564.40625
2024-03-11 04:45:00+00:00,68580.6328125,68602.828125,68516.2265625,68567.109375
2024-03-11 05:00:00+00:00,68560.609375,68802.0078125,68560.609375,68788.2265625
2024-03-11 05:15:00+00:00,68766.4296875,68776.0,68649.109375,68684.6953125
2024-03-11 05:30:00+00:00,68678.28125,68678.28125,68576.6171875,68620.859375
2024-03-11 05:45:00+00:00,68610.4296875,68620.0390625,68538.3359375,68543.4609375
2024-03-11 06:00:00+00:00,68579.5546875,68594.3203125,68493.0703125,68525.1171875
2024-03-11 06:15:00+00:00,68514.1328125,68744.90625,68514.1328125,68692.5546875
2024-03-11 06:30:00+00:00,68690.546875,68737.7109375,68595.34375,68737.7109375
2024-03-11 06:45:00+00:00,68733.8125,69201.1015625,68733.3671875,69201.1015625
2024-03-11 07:00:00+00:00,69300.6796875,70352.0,69300.6796875,70352.0
2024-03-11 07:15:00+00:00,70446.3671875,70688.015625,70091.203125,70688.015625
2024-03-11 07:30:00+00:00,70658.046875,71213.7578125,70521.9609375,70718.1015625
2024-03-11 07:45:00+00:00,70701.3125,71212.6875,70701.3125,71066.59375
2024-03-11 08:00:00+00:00,71018.75,71357.953125,71018.75,71340.90625
